wallet,total_usd_value,eth_balance,has_cTokens,num_tokens
0x9e6ec4e98793970a1307262ba68d37594e58cd78,1.2089237,0.0,1,6
0xa7e94d933eb0c439dda357f61244a485246e97b8,0.0,0.0,1,2
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,28.820489799999997,0.0,1,4
0xb57297c5d02def954794e593db93d0a302e43e5c,40.06024789999999,3.6661034,1,5
0xc179d55f7e00e789915760f7d260a1bf6285278b,121.00488,0.0,1,4
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,0.0,0.0,1,23
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,22.4338507,0.2109271,1,4
0xcf0033bf27804640e5339e06443e208db5870dd2,3.5377789,0.0,1,3
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,12.874541500000001,9.33923,1,3
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,3.5406127,0.0,1,3
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,25.1020263,3.5752723,1,3
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,39.007321,11.745771,1,4
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,47.6445007,44.110943,1,3
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,7.3491359,0.0,1,4
0xebb8629e8a3ec86cf90cb7600264415640834483,0.5021236,0.5021236,1,3
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,11.53561146,6.412201,1,4
0xf54f36bca969800fd7d63a68029561309938c09b,28.3292808,24.805046,1,3
0xf67e8e5805835465f7eba988259db882ab726800,25.123537,21.600384,1,3
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,57.2393448,53.698574,1,3
0xf80a8b9cfff0febf49914c269fb8aead4a22f847,141.66538079999998,59.987045,1,4
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,28.742987,25.199364,1,3
